GENE	EVENT	COORD	LENGTH	FullCO	COMPLEX	2C_Embryo1	2C_Embryo1-Q	2C_Embryo2	2C_Embryo2-Q	2C_Embryo3	2C_Embryo3-Q	4C_Embryo1	4C_Embryo1-Q	4C_Embryo2	4C_Embryo2-Q	4C_Embryo3	4C_Embryo3-Q
RAD52	HsaALTD0005262-2/2	chr12:1039139-1039310	78	chr12:1039217+1039139-1039310,1039052	Alt5	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
RAD52	HsaALTD0005263-1/2	chr12:1038985-1039052	0	chr12:1038985+1038930-1039052,1036429	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
RAD52	HsaALTD0005263-2/2	chr12:1038930-1039052	55	chr12:1038985+1038930-1039052,1036429	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
LAP3	HsaALTD0003551-1/2	chr4:17584003-17584016	0	chr4:17584003-17584016+17584197,17585106	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail
LAP3	HsaALTD0003551-2/2	chr4:17584003-17584197	181	chr4:17584003-17584016+17584197,17585106	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail
ABP1	HsaALTD0000050-1/2	chr7:150555851-150555900	0	chr7:150555851-150555900+150556136,150557589	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ABP1	HsaALTD0000050-2/2	chr7:150555851-150556136	236	chr7:150555851-150555900+150556136,150557589	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
LASP1	HsaALTD0003559-1/2	chr17:37071296-37071388	0	chr17:37071296-37071388+37071399,37074858	Alt5	NA	Fail	0.00	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail
LASP1	HsaALTD0003559-2/2	chr17:37071296-37071399	11	chr17:37071296-37071388+37071399,37074858	Alt5	NA	Fail	100.00	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail
TMEM176A	HsaALTD0006616-1/2	chr7:-150497916	0	chr7:-150497916+150498056,150498624	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TMEM176A	HsaALTD0006616-2/2	chr7:-150498056	140	chr7:-150497916+150498056,150498624	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TMEM176A	HsaALTD0006617-1/2	chr7:150501450-150501560	0	chr7:150501450-150501560+150501573,150501915	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TMEM176A	HsaALTD0006617-2/2	chr7:150501450-150501573	13	chr7:150501450-150501560+150501573,150501915	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
M6PR	HsaALTD0003706-1/2	chr12:9098899-9098983	0	chr12:9098899+9098825-9098983,9098180	Alt5	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
M6PR	HsaALTD0003706-2/2	chr12:9098825-9098983	74	chr12:9098899+9098825-9098983,9098180	Alt5	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
ALS2	HsaALTD0000281-1/2	chr2:202603393-202603447	0	chr2:202603393+202603261-202603447,202598161	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass
ALS2	HsaALTD0000281-2/2	chr2:202603261-202603447	132	chr2:202603393+202603261-202603447,202598161	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass
TFPI	HsaALTD0006476-1/2	chr2:188349654-188349705	0	chr2:188349654+188349538-188349705,188348943	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
TFPI	HsaALTD0006476-2/2	chr2:188349538-188349705	116	chr2:188349654+188349538-188349705,188348943	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
C2orf56	HsaALTD0000974-1/2	chr2:37464900-37464978	0	chr2:37464900-37464978+37465010,37468721	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	17.39	Fail	0.00	Pass	13.04	Pass
C2orf56	HsaALTD0000974-2/2	chr2:37464900-37465010	32	chr2:37464900-37464978+37465010,37468721	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	82.61	Fail	100.00	Pass	86.96	Pass
C2orf56	HsaALTD0000975-1/2	chr2:37468721-37468780	0	chr2:37468721-37468780+37468934,37469778	Alt5	20.00	Fail	0.00	Fail	28.57	Fail	4.76	Fail	22.22	Pass	37.50	Pass
C2orf56	HsaALTD0000975-2/2	chr2:37468721-37468934	154	chr2:37468721-37468780+37468934,37469778	Alt5	80.00	Fail	100.00	Fail	71.43	Fail	95.24	Fail	77.78	Pass	62.50	Pass
RBM5	HsaALTD0005335-1/2	chr3:-50126462	0	chr3:-50126462+50126490,50127815	Alt5	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail
RBM5	HsaALTD0005335-2/2	chr3:-50126490	28	chr3:-50126462+50126490,50127815	Alt5	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail
RBM5	HsaALTD0005336-1/2	chr3:50148115-50148199	0	chr3:50148115-50148199+50148203,50150816	Alt5	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
RBM5	HsaALTD0005336-2/2	chr3:50148115-50148203	4	chr3:50148115-50148199+50148203,50150816	Alt5	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
RBM5	HsaALTD0005337-1/2	chr3:50131153-50131216	0	chr3:50131153-50131216+50131308,50150816	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
RBM5	HsaALTD0005337-2/2	chr3:50131153-50131308	92	chr3:50131153-50131216+50131308,50150816	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ARF5	HsaALTD0000425-1/2	chr7:-127228619	0	chr7:-127228619+127228854,127229137	Alt5	96.18	Pass	100.00	Pass	99.37	Pass	100.00	Pass	99.18	Pass	97.52	Pass
ARF5	HsaALTD0000425-2/2	chr7:-127228854	235	chr7:-127228619+127228854,127229137	Alt5	3.82	Pass	0.00	Pass	0.63	Pass	0.00	Pass	0.82	Pass	2.48	Pass
PLXND1	HsaALTD0004886-1/2	chr3:129289722-129289775	0	chr3:129289722+129289629-129289775,129288800	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail
PLXND1	HsaALTD0004886-2/2	chr3:129289629-129289775	93	chr3:129289722+129289629-129289775,129288800	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail
PLXND1	HsaALTD0004887-1/2	chr3:129288690-129288800	0	chr3:129288690+129288686-129288800,129286648	Alt5	NA	Fail	NA	Fail	0.00	Fail	NA	Fail	NA	Fail	0.00	Fail
PLXND1	HsaALTD0004887-2/2	chr3:129288686-129288800	4	chr3:129288690+129288686-129288800,129286648	Alt5	NA	Fail	NA	Fail	100.00	Fail	NA	Fail	NA	Fail	100.00	Fail
PLXND1	HsaALTD0004888-1/2	chr3:129278463-129278626	0	chr3:129278463+129278456-129278626,129277418	Alt5	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail
PLXND1	HsaALTD0004888-2/2	chr3:129278456-129278626	7	chr3:129278463+129278456-129278626,129277418	Alt5	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail
CD38	HsaALTD0001271-1/2	chr4:15826504-15826621	0	chr4:15826504-15826621+15826639,15835840	Alt5	2.86	Pass	0.00	Pass	0.00	Fail	0.00	Pass	0.00	Pass	0.00	Pass
CD38	HsaALTD0001271-2/2	chr4:15826504-15826639	18	chr4:15826504-15826621+15826639,15835840	Alt5	97.14	Pass	100.00	Pass	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Pass
KDM1A	HsaALTD0003406-1/2	chr1:23408786-23408848	0	chr1:23408786-23408848+23408859,23409672	Alt5	0.00	Pass	1.65	Pass	0.00	Pass	3.23	Pass	0.90	Pass	0.20	Pass
KDM1A	HsaALTD0003406-2/2	chr1:23408786-23408859	11	chr1:23408786-23408848+23408859,23409672	Alt5	100.00	Pass	98.35	Pass	100.00	Pass	96.77	Pass	99.10	Pass	99.80	Pass
CAMKK1	HsaALTD0001133-1/2	chr17:3784793-3784846	0	chr17:3784793+3784749-3784846,3783728	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
CAMKK1	HsaALTD0001133-2/2	chr17:3784749-3784846	44	chr17:3784793+3784749-3784846,3783728	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail
RECQL	HsaALTD0005353-1/2	chr12:21654397-21654603	0	chr12:21654397+21654347-21654603,21654149	Alt5	9.38	Fail	18.75	Fail	50.00	Fail	NA	Fail	NA	Fail	0.00	Fail
RECQL	HsaALTD0005353-2/2	chr12:21654347-21654603	50	chr12:21654397+21654347-21654603,21654149	Alt5	90.62	Fail	81.25	Fail	50.00	Fail	NA	Fail	NA	Fail	100.00	Fail
RECQL	HsaALTD0005354-1/2	chr12:21654105-21654149	0	chr12:21654105+21654104-21654149,21652549	Alt5	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
RECQL	HsaALTD0005354-2/2	chr12:21654104-21654149	1	chr12:21654105+21654104-21654149,21652549	Alt5	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail
CCDC132	HsaALTD0001193-1/2	chr7:92869179-92869247	0	chr7:92869179-92869247+92869263,92881966	Alt5	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Fail	100.00	Fail
CCDC132	HsaALTD0001193-2/2	chr7:92869179-92869263	16	chr7:92869179-92869247+92869263,92881966	Alt5	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Fail	0.00	Fail
SLC22A16	HsaALTD0005960-1/2	chr6:110797519-110797599	0	chr6:110797519+110797461-110797599,110778220	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SLC22A16	HsaALTD0005960-2/2	chr6:110797461-110797599	58	chr6:110797519+110797461-110797599,110778220	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ZMYND10	HsaALTD0007366-1/2	chr3:50382966-	0	chr3:50382966+50382919-,50382663	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
ZMYND10	HsaALTD0007366-2/2	chr3:50382919-	47	chr3:50382966+50382919-,50382663	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail
CDC27	HsaALTD0001296-1/2	chr17:45229219-45229236	0	chr17:45229219+45229172-45229236,45221348	Alt5	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
CDC27	HsaALTD0001296-2/2	chr17:45229172-45229236	47	chr17:45229219+45229172-45229236,45221348	Alt5	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass	100.00	Pass
SLC4A1	HsaALTD0006030-1/2	chr17:42339399-42339427	0	chr17:42339399+42339395-42339427,42339004	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
SLC4A1	HsaALTD0006030-2/2	chr17:42339395-42339427	4	chr17:42339399+42339395-42339427,42339004	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
HCCS	HsaALTD0002973-1/3	chrX:-11129543	0	chrX:-11129543+11129580+11129638,11130139	Alt5	4.88	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass	0.00	Pass
HCCS	HsaALTD0002973-2/3	chrX:-11129580	37	chrX:-11129543+11129580+11129638,11130139	Alt5	0.00	Pass	2.44	Pass	25.00	Pass	0.00	Pass	16.30	Pass	2.75	Pass
HCCS	HsaALTD0002973-3/3	chrX:-11129638	95	chrX:-11129543+11129580+11129638,11130139	Alt5	95.12	Pass	97.56	Pass	75.00	Pass	100.00	Pass	83.70	Pass	97.25	Pass
DVL2	HsaALTD0002074-1/2	chr17:7133377-7133456	0	chr17:7133377+7133365-7133456,7133262	Alt5	14.29	Fail	0.00	Fail	100.00	Fail	0.00	Fail	50.00	Fail	32.00	Pass
DVL2	HsaALTD0002074-2/2	chr17:7133365-7133456	12	chr17:7133377+7133365-7133456,7133262	Alt5	85.71	Fail	100.00	Fail	0.00	Fail	100.00	Fail	50.00	Fail	68.00	Pass
DVL2	HsaALTD0002075-1/2	chr17:7132507-7132588	0	chr17:7132507+7132454-7132588,7132364	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass
DVL2	HsaALTD0002075-2/2	chr17:7132454-7132588	53	chr17:7132507+7132454-7132588,7132364	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass
UPF1	HsaALTD0007048-1/2	chr19:18963796-18963880	0	chr19:18963796-18963880+18963913,18964061	Alt5	94.12	Fail	66.67	Fail	100.00	Fail	64.52	Pass	55.32	Pass	100.00	Fail
UPF1	HsaALTD0007048-2/2	chr19:18963796-18963913	33	chr19:18963796-18963880+18963913,18964061	Alt5	5.88	Fail	33.33	Fail	0.00	Fail	35.48	Pass	44.68	Pass	0.00	Fail
ACSM3	HsaALTD0000124-1/2	chr16:-20775447	0	chr16:-20775447+20775472,20781306	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ACSM3	HsaALTD0000124-2/2	chr16:-20775472	25	chr16:-20775447+20775472,20781306	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
AC004410.1	HsaALTD0000057-1/3	chr19:2339826-2339913	0	chr19:2339826-2339913+2339934+2339965,2340075	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail
AC004410.1	HsaALTD0000057-2/3	chr19:2339826-2339934	21	chr19:2339826-2339913+2339934+2339965,2340075	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail
AC004410.1	HsaALTD0000057-3/3	chr19:2339826-2339965	52	chr19:2339826-2339913+2339934+2339965,2340075	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail
KIAA1539	HsaALTD0003465-1/2	chr9:35115802-35115847	0	chr9:35115802+35115668-35115847,35108734	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
KIAA1539	HsaALTD0003465-2/2	chr9:35115668-35115847	134	chr9:35115802+35115668-35115847,35108734	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
COPZ2	HsaALTD0001599-1/2	chr17:46106503-46106542	0	chr17:46106503+46106491-46106542,46105876	Alt5	NA	Fail	0.00	Fail	0.00	Fail	NA	Fail	NA	Fail	NA	Fail
COPZ2	HsaALTD0001599-2/2	chr17:46106491-46106542	12	chr17:46106503+46106491-46106542,46105876	Alt5	NA	Fail	100.00	Fail	100.00	Fail	NA	Fail	NA	Fail	NA	Fail
COPZ2	HsaALTD0001600-1/2	chr17:46109526-46109595	0	chr17:46109526+46109522-46109595,46106542	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
COPZ2	HsaALTD0001600-2/2	chr17:46109522-46109595	4	chr17:46109526+46109522-46109595,46106542	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
MSL3	HsaALTD0004054-1/2	chrX:11776705-11776807	0	chrX:11776705-11776807+11776892,11777912	Alt5	1.59	Pass	4.63	Pass	4.05	Pass	0.00	Pass	0.42	Pass	2.59	Pass
MSL3	HsaALTD0004054-2/2	chrX:11776705-11776892	85	chrX:11776705-11776807+11776892,11777912	Alt5	98.41	Pass	95.37	Pass	95.95	Pass	100.00	Pass	99.58	Pass	97.41	Pass
C2orf3	HsaALTD0000968-1/2	chr2:75937717-	0	chr2:75937717+75937570-,75933777	Alt5	NA	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Fail
C2orf3	HsaALTD0000968-2/2	chr2:75937570-	147	chr2:75937717+75937570-,75933777	Alt5	NA	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Fail
C2orf3	HsaALTD0000969-1/2	chr2:75929439-75929549	0	chr2:75929439+75929325-75929549,75928413	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Fail	NA	Fail
C2orf3	HsaALTD0000969-2/2	chr2:75929325-75929549	114	chr2:75929439+75929325-75929549,75928413	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Fail	NA	Fail
WDR54	HsaALTD0007200-1/2	chr2:74650610-74650654	0	chr2:74650610-74650654+74650658,74650982	Alt5	0.00	Fail	NA	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass
WDR54	HsaALTD0007200-2/2	chr2:74650610-74650658	4	chr2:74650610-74650654+74650658,74650982	Alt5	100.00	Fail	NA	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass
CROT	HsaALTD0001683-1/2	chr7:-86975069	0	chr7:-86975069+86975083,86975656	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Fail
CROT	HsaALTD0001683-2/2	chr7:-86975083	14	chr7:-86975069+86975083,86975656	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Fail
MLL5	HsaALTD0003949-1/2	chr7:104746306-104746402	0	chr7:104746306-104746402+104746450,104746969	Alt5	0.00	Fail	NA	Fail	0.00	Fail	0.00	Pass	0.00	Fail	0.00	Pass
MLL5	HsaALTD0003949-2/2	chr7:104746306-104746450	48	chr7:104746306-104746402+104746450,104746969	Alt5	100.00	Fail	NA	Fail	100.00	Fail	100.00	Pass	100.00	Fail	100.00	Pass
RHBDD2	HsaALTD0005391-1/2	chr7:75513052-75513118	0	chr7:75513052-75513118+75513166,75517310	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	NA	Fail	0.00	Fail	0.00	Pass
RHBDD2	HsaALTD0005391-2/2	chr7:75513052-75513166	48	chr7:75513052-75513118+75513166,75517310	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	NA	Fail	100.00	Fail	100.00	Pass
IBTK	HsaALTD0003167-1/2	chr6:82936909-82937019	0	chr6:82936909+82936881-82937019,82935364	Alt5	100.00	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	100.00	Fail
IBTK	HsaALTD0003167-2/2	chr6:82936881-82937019	28	chr6:82936909+82936881-82937019,82935364	Alt5	0.00	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	0.00	Fail
ZNF195	HsaALTD0007383-1/2	chr11:3383776-3383832	0	chr11:3383776+3383763-3383832,3383119	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	100.00	Fail	NA	Fail
ZNF195	HsaALTD0007383-2/2	chr11:3383763-3383832	13	chr11:3383776+3383763-3383832,3383119	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	0.00	Fail	NA	Fail
MYCBP2	HsaALTD0004105-1/2	chr13:77650895-77650984	0	chr13:77650895+77650886-77650984,77644846	Alt5	66.67	Fail	100.00	Fail	NA	Fail	61.36	Pass	0.00	Fail	100.00	Fail
MYCBP2	HsaALTD0004105-2/2	chr13:77650886-77650984	9	chr13:77650895+77650886-77650984,77644846	Alt5	33.33	Fail	0.00	Fail	NA	Fail	38.64	Pass	100.00	Fail	0.00	Fail
FBXL3	HsaALTD0002499-1/2	chr13:77595792-77595996	0	chr13:77595792+77595648-77595996,77592857	Alt5	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Fail	0.00	Pass	0.00	Pass
FBXL3	HsaALTD0002499-2/2	chr13:77595648-77595996	144	chr13:77595792+77595648-77595996,77592857	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass
ITGAL	HsaALTD0003333-1/2	chr16:30485517-30485608	0	chr16:30485517-30485608+30485619,30486627	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ITGAL	HsaALTD0003333-2/2	chr16:30485517-30485619	11	chr16:30485517-30485608+30485619,30486627	Alt5	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail	NA	Fail
ITGA3	HsaALTD0003329-1/2	chr17:48148735-48148829	0	chr17:48148735-48148829+48148882,48149350	Alt5	NA	Fail	0.00	Fail	0.00	Fail	0.00	Pass	NA	Fail	0.00	Fail
ITGA3	HsaALTD0003329-2/2	chr17:48148735-48148882	53	chr17:48148735-48148829+48148882,48149350	Alt5	NA	Fail	100.00	Fail	100.00	Fail	100.00	Pass	NA	Fail	100.00	Fail
ITGA3	HsaALTD0003330-1/2	chr17:48151508-48151644	0	chr17:48151508-48151644+48151656,48151812	Alt5	100.00	Fail	100.00	Fail	100.00	Fail	100.00	Pass	100.00	Pass	100.00	Fail
